nazev;okres;obec;pocetMist;lon;lat
Kontaktní pracoviště Kaplice;CK;Kaplice;0;14,49627635;48,73848568
Kontaktní pracoviště Karlovy Vary;KV;Karlovy Vary;1894;12,860444;50,233939
Kontaktní pracoviště Karlovy Vary (Nejdek);KV;Nejdek;0;12,72935635;50,32241724
Kontaktní pracoviště Karlovy Vary (Toužim);KV;Toužim;0;12,98505728;50,06049374
Kontaktní pracoviště Karolinka;VS;Karolinka;0;18,24006224;49,35127692
Kontaktní pracoviště Karviná;KA;Karviná;1666;18,54168982;49,85400309
Kontaktní pracoviště Kladno;KL;Kladno;3778;14,10285089;50,14733556
Kontaktní pracoviště Klášterec nad Ohří;CV;Klášterec nad Ohří;0;13,1801;50,3919
Kontaktní pracoviště Klatovy;KT;Klatovy;2254;13,29505491;49,39552009
Kontaktní pracoviště Klatovy (Horažďovice);KT;Horažďovice;0;13,70100184;49,32068591
Kontaktní pracoviště Kojetín;PR;Kojetín;30;17,30206713;49,35179338
Kontaktní pracoviště Kolín;KO;Kolín;3120;15,20056781;50,02813618
Kontaktní pracoviště Kolín (Český Brod);KO;Český Brod;0;14,86081211;50,0742018
Kontaktní pracoviště Konice;PV;Konice;0;16,88974139;49,59079056
Kontaktní pracoviště Kopřivnice;NJ;Kopřivnice;0;18,14480057;49,59947132
Kontaktní pracoviště Kostelec nad Orlicí;RK;Kostelec nad Orlicí;0;16,2131855;50,12266737
Kontaktní pracoviště Králíky;UO;Králíky;0;16,76054146;50,08384159
Kontaktní pracoviště Kralupy nad Vltavou;ME;Kralupy nad Vltavou;0;14,31149458;50,24107089
Kontaktní pracoviště Kraslice;SO;Kraslice;1;12,5174685;50,32372233
Kontaktní pracoviště Kravaře;OP;Kravaře;0;18,00472026;49,93203265
Kontaktní pracoviště Krnov;BR;Krnov;0;17,70384692;50,08966852
Kontaktní pracoviště Krnov (Město Albrechtice);BR;Město Albrechtice;0;17,57480746;50,16293955
Kontaktní pracoviště Krnov (Osoblaha);BR;Osoblaha;0;17,71523254;50,27517148
Kontaktní pracoviště Kroměříž;KM;Kroměříž;1052;17,39311626;49,29785144
Kontaktní pracoviště Kutná Hora;KH;Kutná Hora;2147;15,26816465;49,94838848
Kontaktní pracoviště Kutná Hora (Uhlířské Janovice);KH;Uhlířské Janovice;0;15,06481434;49,88018894
Kontaktní pracoviště Kutná Hora (Zruč nad Sázavou);KH;Zruč nad Sázavou;0;15,10605909;49,74010307
Kontaktní pracoviště Kyjov;HO;Kyjov;0;17,12252801;49,01017714
Kontaktní pracoviště Lanškroun;UO;Lanškroun;0;16,611899;49,91216743
Kontaktní pracoviště Liberec;LB;Liberec;5663;15,0584491;50,76999731
Kontaktní pracoviště Liberec (Český Dub);LB;Český Dub;0;14,99567074;50,65957985
Kontaktní pracoviště Liberec (Hrádek nad Nisou);LB;Hrádek nad Nisou;0;14,84454732;50,85278969
Kontaktní pracoviště Lipník nad Bečvou;PR;Lipník nad Bečvou;2;17,58630764;49,52754609
Kontaktní pracoviště Litoměřice;LT;Litoměřice;1506;14,13180212;50,5334782
Kontaktní pracoviště Litoměřice (Libochovice);LT;Libochovice;0;14,04438762;50,40626371
Kontaktní pracoviště Litomyšl;SY;Litomyšl;0;16,31052234;49,87203228
Kontaktní pracoviště Litovel;OL;Litovel;0;17,07614851;49,70121058
Kontaktní pracoviště Litvínov;MO;Litvínov;0;13,61111077;50,60068644
Kontaktní pracoviště Louny;LN;Louny;1498;13,7966747;50,35698861
Kontaktní pracoviště Lovosice;LT;Lovosice;0;14,05103009;50,51503824
Kontaktní pracoviště Mariánské Lázně;CH;Mariánské Lázně;0;12,70118286;49,96458666
Kontaktní pracoviště Mělník;ME;Mělník;2641;14,47410743;50,35049684
Kontaktní pracoviště Mikulov;BV;Mikulov;0;16,63779515;48,80555884
Kontaktní pracoviště Milevsko;PI;Milevsko;0;14,36000495;49,45089226
Kontaktní pracoviště Mimoň;CL;Mimoň;0;14,7247361;50,65868863
Kontaktní pracoviště Mirovice;PI;Mirovice;0;14,03581912;49,51555077
Kontaktní pracoviště Mladá Boleslav;MB;Mladá Boleslav;8651;14,90318496;50,41135132
Kontaktní pracoviště Mladá Boleslav (Mnichovo Hradiště);MB;Mnichovo Hradiště;0;14,97433028;50,52304639
Kontaktní pracoviště Mohelnice;SU;Mohelnice;0;16,91946158;49,77698356
